annotator ID,talk__id,speaker__name,url_webpage,url_video,identify_accent,rate_accent,rater_confidence,speaker_race,speaker_gender,notes
Fabriciana,66,Sir Ken Robinson,https://www.ted.com/talks/sir_ken_robinson_do_schools_kill_creativity,https://py.tedcdn.com/consus/projects/00/12/51/016/products/2006-sir-ken-robinson-016-fallback-c0fb144f267e9f1a5e2b234fb866c5ec-1200k.mp4,british,1,5,white,male,
Fabriciana,1569,Amy Cuddy,https://www.ted.com/talks/amy_cuddy_your_body_language_may_shape_who_you_are,https://py.tedcdn.com/consus/projects/00/22/92/005/products/2012g-amy-cuddy-005-fallback-23936ca48b1e456d791702b7e3c68191-1200k.mp4,american,5,5,white,female,
Fabriciana,2458,Tim Urban,https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator,https://py.tedcdn.com/consus/projects/00/25/85/002/products/2016-tim-urban-002-fallback-55735968f97a8eee68f728b8c2110631-1200k.mp4,american,5,5,white,male,
Fabriciana,848,Simon Sinek,https://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action,https://py.tedcdn.com/consus/projects/00/39/82/005/products/2009x-simon-sinek-005-fallback-db6fcab6ff1758a7ed59cce6d6f38412-1200k.mp4,american,4,5,white,male,
Fabriciana,1042,Brené Brown,https://www.ted.com/talks/brene_brown_the_power_of_vulnerability,https://py.tedcdn.com/consus/projects/00/39/68/006/products/2010x-brene-brown-006-fallback-ec9b1be08f8275ccc2f42286201e287c-1200k.mp4,american,5,5,white,female,
Fabriciana,2034,Julian Treasure,https://www.ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen,https://py.tedcdn.com/consus/projects/00/18/95/006/products/2013g-julian-treasure-006-fallback-ac29472c1ff8963e8846a172e4f27d3d-1200k.mp4,british,1,5,white,male,
Fabriciana,13587,Sam Berns,https://www.ted.com/talks/sam_berns_my_philosophy_for_a_happy_life,,american,5,5,white,male,
Fabriciana,2225,Bill Gates,https://www.ted.com/talks/bill_gates_the_next_outbreak_we_re_not_ready,https://py.tedcdn.com/consus/projects/00/01/74/013/products/2015-bill-gates-013-fallback-bc443599df5067f313aa5b5eb566d81a-1200k.mp4,american,5,5,white,male,
Fabriciana,2399,Robert Waldinger,https://www.ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness,https://py.tedcdn.com/consus/projects/00/25/56/009/products/2015x-robert-waldinger-009-fallback-7375713b18e3aab94bd8e7d5205b93a9-1200k.mp4,american,5,5,white,male,
Fabriciana,1647,Cameron Russell,https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,https://py.tedcdn.com/consus/projects/00/38/59/004/products/2012x-cameron-russell-004-fallback-decd266991ffcd4ace087e32359f5ec2-1200k.mp4,american,5,5,white,female,
Fabriciana,13589,Graham Shaw,https://www.ted.com/talks/graham_shaw_why_people_believe_they_can_t_draw,,british,1,5,white,male,
Fabriciana,549,Mary Roach,https://www.ted.com/talks/mary_roach_10_things_you_didn_t_know_about_orgasm,https://py.tedcdn.com/consus/projects/00/12/46/023/products/2009-mary-roach-023-fallback-0db1cc16651fc6533a4d1b015428abcb-1200k.mp4,american,5,5,white,female,
Fabriciana,1792,Tom Thum,https://www.ted.com/talks/tom_thum_the_orchestra_in_my_mouth,https://py.tedcdn.com/consus/projects/00/13/61/002/products/2013x-tom-thum-002-fallback-926a2054ca684c527dc8d0917e56930e-1200k.mp4,austrailian,1,5,white,male,
Fabriciana,1246,Pamela Meyer,https://www.ted.com/talks/pamela_meyer_how_to_spot_a_liar,https://py.tedcdn.com/consus/projects/00/23/01/006/products/2011g-pamela-meyer-006-fallback-a6c8c1f34a1db22b0e92450743ded4d8-1200k.mp4,american,5,5,white,female,
Fabriciana,1821,Apollo Robbins,https://www.ted.com/talks/apollo_robbins_the_art_of_misdirection,https://py.tedcdn.com/consus/projects/00/18/09/004/products/2013g-apollo-robbins-004-fallback-c08174266bc099774232a3ea42d646c3-1200k.mp4,american,5,5,white,male,
Fabriciana,1377,Susan Cain,https://www.ted.com/talks/susan_cain_the_power_of_introverts,https://py.tedcdn.com/consus/projects/00/08/02/004/products/2012-susan-cain-004-fallback-66ef4cf9770be3e7a83e06c8383de267-1200k.mp4,american,5,5,white,female,
Fabriciana,652,Chimamanda Ngozi Adichie,https://www.ted.com/talks/chimamanda_ngozi_adichie_the_danger_of_a_single_story,https://py.tedcdn.com/consus/projects/00/06/96/010/products/2009g-chimamanda-ngozi-adichie-010-fallback-818c4b9656ec92813db58d6898a5a820-1200k.mp4,african,1,5,black,female,
Fabriciana,741,David Blaine,https://www.ted.com/talks/david_blaine_how_i_held_my_breath_for_17_minutes,https://py.tedcdn.com/consus/projects/00/07/65/011/products/2009p-david-blaine-011-fallback-7488017e1eb8f6c42475903502083caf-1200k.mp4,american,5,5,hispanic? middle eastern?,male,
Fabriciana,1815,Kelly McGonigal,https://www.ted.com/talks/kelly_mcgonigal_how_to_make_stress_your_friend,https://py.tedcdn.com/consus/projects/00/11/24/007/products/2013g-kelly-mcgonigal-007-fallback-287f81ba3fab34ff4145e643c2fc06b6-1200k.mp4,american,5,5,white,female,
Fabriciana,229,Jill Bolte Taylor,https://www.ted.com/talks/jill_bolte_taylor_my_stroke_of_insight,https://py.tedcdn.com/consus/projects/00/19/35/001/products/2008-jill-bolte-taylor-001-fallback-001899395d0b4b356cac39dcd0a01aab-1200k.mp4,american,5,5,white,female,
Fabriciana,13585,Mel Robbins,https://www.ted.com/talks/mel_robbins_how_to_stop_screwing_yourself_over,,american,5,5,white,female,
Fabriciana,618,Dan Pink,https://www.ted.com/talks/dan_pink_the_puzzle_of_motivation,https://py.tedcdn.com/consus/projects/00/20/33/005/products/2009g-dan-pink-005-fallback-f1b96462359a7383b5bc217e250a6784-1200k.mp4,american,5,5,white,male,
Fabriciana,1544,Jon Ronson,https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test,https://py.tedcdn.com/consus/projects/00/20/40/010/products/2012-jon-ronson-010-fallback-c3269c261ecf296d4b67544c6ccc6027-1200k.mp4,british,1,5,white,male,
Fabriciana,2774,Elon Musk,https://www.ted.com/talks/elon_musk_the_future_we_re_building_and_boring,https://py.tedcdn.com/consus/projects/00/28/36/004/products/2017-elon-musk-004-fallback-606b8b851116d03fb0026f17f6cbc6e1-1200k.mp4,"american, south african",4,5,white,male,
Fabriciana,2435,Celeste Headlee,https://www.ted.com/talks/celeste_headlee_10_ways_to_have_a_better_conversation,https://py.tedcdn.com/consus/projects/00/25/74/015/products/2015x-celeste-headlee-015-fallback-5f6f720e1cc988074135377e5725fef8-1200k.mp4,american,5,5,multiracial,female,
Fabriciana,1386,Chris Anderson (TED),https://www.ted.com/talks/chris_anderson_ted_questions_no_one_knows_the_answers_to,https://py.tedcdn.com/consus/projects/00/40/90/001/products/2012e-chris-anderson-questions-001-fallback-a53f17a27f4a98c8ec9cd18fb2afdf89-1200k.mp4,british,1,5,white,male,
Fabriciana,1733,Angela Lee Duckworth,https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,https://py.tedcdn.com/consus/projects/00/08/70/007/products/2013s-angela-lee-duckworth-007-fallback-1b8090863dea4e010a5845b20da9409e-1200k.mp4,american,5,5,asian,female,
Fabriciana,1344,Shawn Achor,https://www.ted.com/talks/shawn_achor_the_happy_secret_to_better_work,https://py.tedcdn.com/consus/projects/00/06/92/002/products/2011x-shawn-achor-002-fallback-3d0bc877b84f9cf50f19fdff214349af-1200k.mp4,american,5,5,white,male,
Fabriciana,24260,Alex Gendler,https://www.ted.com/talks/alex_gendler_can_you_solve_the_prisoner_hat_riddle,https://py.tedcdn.com/consus/projects/00/42/70/008/products/2015e-alex-gendler-prisoner-hat-riddle-008-fallback-27156d3955817d37d5112794da0e8a13-1200k.mp4,american,5,5,unknown,male,
Fabriciana,1694,Hyeonseo Lee,https://www.ted.com/talks/hyeonseo_lee_my_escape_from_north_korea,https://py.tedcdn.com/consus/projects/00/20/07/005/products/2013-hyeonseo-lee-005-fallback-228091274f983bda09416e624e794073-1200k.mp4,east asian,1,5,asian,female,
